"","term","estimate","std.error.x","statistic.x","p.value.x","std.error.y","statistic.y","p.value.y"
"35","MSZoningRH",-21.7897655080875,4.73075663720848,-4.60597895412882,4.66694185842573e-06,4.73075663720848,-4.60597895412882,4.66694185842573e-06
"36","MSZoningRL",-24.8303597808208,4.12536004904681,-6.01895579673293,2.50905800879013e-09,4.12536004904681,-6.01895579673293,2.50905800879013e-09
"37","MSZoningRM",-24.6913083228548,4.13692029782846,-5.9685240578156,3.38313998068614e-09,4.13692029782846,-5.9685240578156,3.38313998068614e-09
"38","SaleConditionAdjLand",0.208580242415257,0.0620086495260509,3.36372818968794,0.000799874817393335,0.0620086495260509,3.36372818968794,0.000799874817393335
"39","SaleConditionAlloca",0.214080630928302,0.041269524108156,5.1873782301743,2.60972842010811e-07,0.041269524108156,5.1873782301743,2.60972842010811e-07
"40","SaleConditionFamily",0.0740570998870219,0.029843826144039,2.48148811514954,0.0132564344221751,0.029843826144039,2.48148811514954,0.0132564344221751
"41","SaleConditionNormal",0.083931344847138,0.0135800172243494,6.1805035634746,9.48969780681684e-10,0.0135800172243494,6.1805035634746,9.48969780681684e-10
"42","SaleConditionPartial",0.135989995850318,0.0187881233327341,7.23808298689338,9.41565944984661e-13,0.0187881233327341,7.23808298689338,9.41565944984661e-13
"43","CentralAirY",7.20407309185781,1.59483593118858,4.51712489728573,7.06117144093874e-06,1.59483593118858,4.51712489728573,7.06117144093874e-06
"44","Fireplaces",0.0447327031425442,0.0081241980931309,5.50610689569056,4.72778673182519e-08,0.0081241980931309,5.50610689569056,4.72778673182519e-08
"45","LotArea",2.32994130645509e-05,5.32985938708597e-06,4.37148738313893,1.37085936364765e-05,5.32985938708597e-06,4.37148738313893,1.37085936364765e-05
"46","ScreenPorch",0.00025755250312067,5.77264939167885e-05,4.46159961649371,9.11379919489476e-06,5.77264939167885e-05,4.46159961649371,9.11379919489476e-06
"47","FunctionalMaj2",-0.128726658539912,0.0791409083993928,-1.62655017668333,0.104166050715865,0.0791409083993928,-1.62655017668333,0.104166050715865
"48","FunctionalMin1",0.019151337508994,0.0399021895358662,0.479957058290742,0.631368996155466,0.0399021895358662,0.479957058290742,0.631368996155466
"49","FunctionalMin2",0.0725577992139899,0.0378273112005483,1.9181326113641,0.0553952920820135,0.0378273112005483,1.9181326113641,0.0553952920820135
"50","FunctionalMod",-0.0278843899417327,0.0490917494702679,-0.568005627068163,0.570166076001438,0.0490917494702679,-0.568005627068163,0.570166076001438
"51","FunctionalSev",-0.327011565064413,0.105749286713042,-3.0923288017231,0.0020442075248782,0.105749286713042,-3.0923288017231,0.0020442075248782
"52","FunctionalTyp",0.0970024823803863,0.0321630881836086,3.01595673358947,0.00263023619737892,0.0321630881836086,3.01595673358947,0.00263023619737892
"53","YearRemodAdd",0.00407276711247235,0.000776891449296618,5.24238890279942,1.95580971311684e-07,0.000776891449296618,5.24238890279942,1.95580971311684e-07
"54","KitchenAbvGr",0.24436935242931,0.0817047353435668,2.99088359324269,0.00285388508280681,0.0817047353435668,2.99088359324269,0.00285388508280681
"55","GarageFinishRFn",-0.00215753470942793,0.00967612100524195,-0.222975168278601,0.82360301892393,0.00967612100524195,-0.222975168278601,0.82360301892393
"56","GarageFinishUnf",-0.0387210919409595,0.0112432158301044,-3.44395167059599,0.000598460913046525,0.0112432158301044,-3.44395167059599,0.000598460913046525
"57","GarageFinishNAN",-0.0823523634647847,0.0218891018447455,-3.76225411389155,0.000178756148133882,0.0218891018447455,-3.76225411389155,0.000178756148133882
"58","GrLivArea:BsmtFullBath",6.87550307659387e-06,1.61726193915903e-05,0.425132312219571,0.670837009937739,1.61726193915903e-05,0.425132312219571,0.670837009937739
"59","GrLivArea:TotalBsmtSF",-4.62718553451358e-08,2.14210828903899e-08,-2.16010813187668,0.0310151451367598,2.14210828903899e-08,-2.16010813187668,0.0310151451367598
"60","OverallQual:TotalBsmtSF",3.44230659265979e-05,7.56381915123616e-06,4.55101652198706,6.03450502344403e-06,7.56381915123616e-06,4.55101652198706,6.03450502344403e-06
"61","OverallQual:GrLivArea",8.59802661398633e-06,5.6935697826416e-06,1.51012931117482,0.131344711275092,5.6935697826416e-06,1.51012931117482,0.131344711275092
"62","TotalBsmtSF:LotArea",-4.90107972598548e-09,1.3767374332466e-09,-3.55992334313728,0.000389442643483654,1.3767374332466e-09,-3.55992334313728,0.000389442643483654
"63","CentralAirY:YearRemodAdd",-0.00354933892902629,0.000809110279146377,-4.38671837511556,1.28011515375771e-05,0.000809110279146377,-4.38671837511556,1.28011515375771e-05
"64","OverallQual:LotArea",1.69324349544922e-06,4.10868176622691e-07,4.12113566294565,4.10101638791638e-05,4.10868176622691e-07,4.12113566294565,4.10101638791638e-05
"65","GarageCars:KitchenAbvGr",-0.0511763100121649,0.0159213357667029,-3.21432263988756,0.00135183864401652,0.0159213357667029,-3.21432263988756,0.00135183864401652
"66","YearBuilt:MSZoningFV",0.00954861661279785,0.00542333657321486,1.7606535172383,0.0786204922477309,0.00542333657321486,1.7606535172383,0.0786204922477309
"67","YearBuilt:MSZoningRH",0.0115315399875082,0.00245193340465489,4.7030396362381,2.94485547861669e-06,0.00245193340465489,4.7030396362381,2.94485547861669e-06
